msno,city,bd,gender,registered_via,registration_init_time
+tJonkh+O1CA796Fm5X60UMOtB6POHAwPjbTRVl/EuU=,1,0,,7,20110914
yLkV2gbZ4GLFwqTOXLVHz0VGrMYcgBGgKZ3kj9RiYu8=,4,30,male,9,20110916
den0Kb2s4BV47zV+tSC1u0W07M7BOMq+fnrGj+9ax0I=,14,26,female,9,20111005
Jul8xeVqsOHp2dFxcL3kN6jyLN8Xv36jDlctKTOrnHs=,1,0,,7,20111022
m0h0+lJIok7k6BzAoOnq+x+mB1tbi9shGF/egYLbed4=,4,22,female,7,20141020
vWYxNeXA8NwsiQQr7Beq5XQgCcj0y9N0YxEN2A2iqxI=,1,0,,9,20141021
eIOUZ5I+NV/3EDfn/U/tMepn4FJt2SdzOrWGH1tNlYI=,5,24,male,3,20141025
fkLgfIOX0bWM9/BQQChOCDzoos23szsckxPvxrBbtmY=,4,20,female,9,20141029
+lkl5vyTsFd0RQlcpqvsrYx/6xy8lHu68XNB0p3bJZM=,14,24,female,9,20141104
TW8bEcKDh38eaQ7nMZRioBtfZXnKyPtgLiRQhz2blI8=,1,0,,7,20141107
J0g/MFciSmAehbSTZ/6COPmwjwLzIyqgsWD6cH0THQY=,1,0,,7,20141111
LhnXn9Jgo8Rb9h6Jr9Y0sEGg5C7QrLhGtg/DYK2aHZU=,1,0,,7,20141112
Qy5Vw8i+X2WgZ430f27tIwKtPyQpwAUmRJe6i5b0OiY=,4,48,female,9,20060609
qMzo3fh+aKo4U//5NaArPYv+cpJwkuECXv2N1g0oBuQ=,6,26,male,9,20060704
iLp1n8hnIxEneAAgEG6eRpZy1MDLZxl0tlWbWa1gHls=,13,35,male,9,20060706
C8ZozAkFkUZ+YTmdWjcJSiZ6DJT9rNaQvuFdrkH7jrk=,4,25,female,9,20060708
43Xt8DLH9D+8LlkZUzSo3EiKWrqdYBRvYwn6isjbhQo=,4,45,male,9,20060715
R7fVCCL0e1+MYPwGNdNZafvzSNFqIe5fqUYUqHqS8UQ=,5,30,female,9,20060823
jyoh/qYp2LM6x5Pa1P8QNr4TTAr1vNX52BO4YGCnBgU=,13,44,female,9,20060912
oADAo9IMRz4CRi+0zEWu8pKkaukScPG/dZs6njbM2qg=,15,55,male,9,20060912
5b2b22YpLGjEf+dpWsDc0vJ4/z4tj+6WConGvroC/O0=,5,36,male,9,20061114
CAPRDGToSIqQpBGiQDpXwKOAXGFjiCLOoj46dqRYbic=,13,23,male,9,20070106
aVJWfzAkVSaB9tbgCo7yUuJeiNyPhT30UlUyQ9yBLu0=,5,26,female,9,20070117
nWdqi1lu60FTjTQG493PxpkF+d8XhCKeIZP3dXf2CyE=,14,31,female,9,20070213
3K2bRvaLZpY1b1wJMe+Oouo1Baspvm81+HmPgaHCEA0=,13,30,male,9,20070303
BiOk7TJsw1XpkOKWCsTsSiy7+34LqEMGH8f2MXhnjpw=,15,40,female,9,20070314
kD6F3+EIMPOe67FJzpIZ3WnbPsvVs7LRFQ44CSbqtcQ=,13,37,male,9,20070319
q2AtvcG9CV8xaPXij4DSQKumbMCvQZxz9IgsLRUCKBY=,6,29,male,9,20070324
/nTQJXRsE1N9RRwDZYsMbIsjvRY+97wjh4rQazv0ESw=,13,26,male,9,20070407
LejA8Zr6+vFLmtJrw0o8NAvjv2y/m6zVzlKnFNzLS5s=,14,41,male,9,20070414
yiSWOh0Ks0J2pqmIpaokXSxqS5404JpHyg4hGEtRh1M=,5,42,male,9,20070414
TdUpf3Jej77IwY8J30FhW30WO6KIWbYci2phGnnbSY4=,12,28,male,9,20070428
iQyU+ZPerEmWCx0uv46m8C+vPKBiK9esX6sTTUMGfbg=,13,23,male,9,20070506
5AQWp64jF+aFyyfWczYbpIvgY/F9+hEPozAai8YTW90=,5,48,female,9,20110919
XDITWNC6i+rO3ZS3igegyKRykWcpkzQQfMoCdjmW79Y=,1,0,,7,20110920
2lwya6W8BUaMLkb9eGUiyR8QNj4529J6SSQRQP89kaw=,4,31,female,7,20110926
Sf8eYP3kQPUu8NqfM/sXi1MD+mS1lQzMXkwLPMdm6MU=,1,0,,7,20111007
b8qt4FpcZZaJ1ig5p5Gga7nPuGde3XQ5JF2Tl5H5TNc=,1,0,,7,20111012
MWQBY7oaWVpLTt3/mUr3eAHifRAg2TjxEmPNNyhXn68=,1,0,,7,20111017
7HRWK3EUvJMuLAKQYlVZeRgbpCYyQZYv2IacrWI66lI=,1,0,,7,20111020
Jl78tZRbyxsk5KRwWq2ZaYzSPdAKlgRfvyxUJU+VIxE=,22,0,,9,20141021
/ZKSwoOYlpzh+ZPherZfRYi9urCiBYAfJddyrM/Ufjg=,13,28,male,7,20141113
zeIZwxXXCL4pLJ0lmdi6atrBdLnlwp3gMvMZJZjiCKs=,14,21,male,9,20141114
E6t6YBiCoiYtOQtr92H6iZTtND1dKa3hRtyJ1HpPxvQ=,9,36,female,9,20081214
NV+qseR7CIBBAGhCBZEM+tfmDdWqqsbbGXqwOeRolzI=,4,27,female,9,20090105
qypDv9nnxmtSJXXk1Ryb9rRm6VMQJO5kXvWRs/mC0T8=,4,56,female,9,20090108
L+ZZOvU2Gw92wSw7Bl7tPE5f96HIi3OnzMviR6WPWLg=,17,26,female,9,20090124
ijaqPfRelotBI6duICd0M0ADsLORvrpURn//X7gmylc=,18,25,male,9,20090125
A7l7pb1epN+0XAQxNiopKxc2wGEtlO4pwQO51O0Za10=,15,36,female,9,20090209
aJh8URCs/LzlU1uLufsTZ91UjUBiNu1mMkd6kJ1xRlg=,4,31,female,9,20090214
Snm3N8sDfHtLmG4GkhkjBejRx1XCFD2LPkLPumvOusw=,22,49,female,9,20070609
ZBq6O95XEQ2uJHcmac32gTrLfnq/vBCdE+0V3Gs8wbg=,9,51,male,9,20070612
b/YPz9GbTKY4EukVwRrhr4h8CFnej/jeduK1kpUAkhQ=,4,32,male,9,20070707
FzkkabbLZFoUJn4g567kJTz0r3DAczjMDOHP1761ZAk=,4,29,female,9,20070726
oYYSuEi8Ib0MP2/Dn/alYNTUyXsQvtpd91uxJewhtGU=,22,23,male,9,20070806
2BdNtmNfn1YU8QKywkus0/a5teLbhTeJP73QcA+EXA8=,5,33,male,9,20070824
wq+oSCJERCSUJcU+QbnR4PLLsDEkuK3KnWLBgbaxY5Q=,4,25,male,9,20070829
q5Q4hLg9hbYv//+V89HO+iJGhMh/RNJiblKu7m3PJhE=,17,28,female,9,20070918
6HW2KRc+cheX4nhInndUssUWrY4HsdpFB93Gs0uFaGc=,22,42,male,9,20070919
Yv0QHdN8SLFTy8Ngis4vtC6Re0EHklOHCx5I/FqjBTc=,15,20,male,9,20070926
7XPkw0lwsHC2eE0m8ibg643+IOGGu+r3Ek3AcyQ33n8=,11,27,female,9,20071010
REFaNc0BkPFI2wN1d4aoPvcCWVMaMPHLKkVz0zx8XoY=,13,34,male,9,20071118
x6x0YTe4cdFhPgjEmTWqcX0qbMZWnCAPa8LA0/eMq4c=,1,0,,7,20140322
PuUzWuSVmCsiB1XoePfPe2QkG5gbWYhePG/hcQF9Zdg=,1,0,,7,20140323
D98SfjmztHtXgTjVMvkKJj/q7aPiST72n8ChRVHnuzg=,1,0,,7,20140326
HOxVYT1gUkAiFH0+LVNj3wfa6xn4mTstMkJT1IJjY+A=,1,0,,7,20140331
XQZYgsYPsyvkgbeP0Ht62YMGVMQuDy7VnSacgVi+YAw=,6,26,female,9,20140405
rbaGqe7EcBjs2wQxWydnZq54eQLDdpg5KLz3xpC/7Uc=,11,26,male,3,20140410
i2O2kU5pUpL+URfdiBd6AoMn5jKs1dfr+M2oM1XIKnM=,8,43,female,7,20140413
D1mFQso9nDdD0dSennJTf0K6/yKxKUwqxMOqc0dtqFo=,1,0,,9,20141121
nOYfzYaWhRJP5OxBiAyoSXukginvMUN1jnjOiIO8taQ=,21,26,male,9,20141126
dT2yQNoxkcIIH9L+5KNL5xq4PfJW1BgHGMqpLY+4jr0=,15,28,male,3,20141127
fQAJ1Jht3+jUpKL/2m5Pl7W3BXzTD6auFpqbuosiCLQ=,15,26,female,3,20141129
7Bx3zw0JFFwCXjkWgqhMxnQQLzy7Idmc+J1qXU8GhAY=,13,25,female,9,20141130
HkMjbAqsZBn7FEWOZqYGU43stPnxkf0DS9H6uDQFv3Q=,11,24,male,3,20141203
5IsAxfeHwNKgtHjGbrQ1BOQbjzgF6Oy4qyR235WBr70=,1,18,male,3,20141204
sTZZr5YN23kS186tBY/ULeJdcqTjEcaSAJynroILdJs=,4,22,male,3,20141207
dWUSEpwn3u4+9EI3d0kodL5CwDki6yBO73N5vdLeUwA=,1,0,,7,20141215
ZnIEyrV/qb9xsZTUUts1JGd2OvL2QA8JFMxKy/bk65U=,13,38,female,3,20141224
nUdZS1UP5MsdgF732ql56wckXYPo96KXF341XnLwiC8=,4,32,male,9,20071205
F5jNOuPiynkZsDQOXx4aTl+S1v456vwYbqTcR1K+Ms8=,11,24,male,9,20071224
0CcbZ2KOl50ZDqjQ72Z+HrpeD++/VXOGU+mgheNoA70=,9,26,male,9,20080107
8i0VDc/MRO0504wQJg2awv37q9FGeA2EgoP1Y5peXwg=,5,32,male,9,20080129
Y2P2gqxNF2Nu2ckX3PYgij45tey80PdQPe8sUKGlJKg=,22,54,male,9,20080202
1/L07BYnfnlSJ7MC7t79F3KQ2KMusB9v+GMLnhZOUuA=,5,32,female,7,20130122
2BawifKKw1m8IgqokBWBLBzQWywglWFReDA6kWoLxqQ=,22,38,male,9,20130127
YOYwuKQOkJZmKouLIwyCRsEXGRn8iQEVlVkUhC1dQec=,4,27,female,3,20130131
SA9a0gkqMdF0i+nL9S/x263F/Vh1vdrPY2rAkbq1XZk=,1,0,,7,20130202
6dnW5mMO8OW11eVaaBAGaES1skJWl9sT5zZB9ZSmGrM=,4,0,,7,20130202
lhxrM1oJVr4dXNfw7jTR7XVI662x0Wr++XqexjL2SVA=,5,24,male,7,20130203
UIihlpsJ6buL/zRACVcvnVTQd3AcGp1PyQriYTsrLLY=,4,27,male,9,20130204
OcGlImLbggXZrbX4OAkXRBDGR60iS/xEFlIsOttw5ao=,13,27,female,3,20130215
w2MibEtNCvLaP74MFlr/vqXZM4jeQzWPpL5qrMVk71k=,4,50,female,9,20130218
Z+qBZc/JDLrSxJTk+iUofIf2wFjj6i9+rZ2zNxm9QC4=,13,29,female,9,20130220
JafMMgVW8nn4ctJ6VhfIP7l7BEu143M+stSBPCp8AFg=,5,29,female,3,20130222
P99kTwRcEQJntGkLYcy75orK+2+KmfdoSmsd2GBpoLc=,22,0,,3,20130226
icXP6T2Iglc3kGDXoRS5sFV597CA9Y/HQtYI/kC1Aa8=,14,18,female,7,20130301
sl9o52lm3BVh9W5RjKstvjwV2Xn6zi0m+p/HUBcnd00=,9,24,male,9,20130302
SyZfyDjORHerGgz8JW04TXKDBcSTqCQ6Lfw25EUkxpo=,22,22,male,3,20130309
Yd7j0ikWvL64ME1WdWItzMb0HHWig+1VgwOLHsky55A=,1,0,,7,20130313
SUgWkoC70nVUifFni2eA85/wD4PZ8I46d25FoEnYc84=,15,31,female,7,20150123
udCE6Z8x8jJ7RM755Y4rI/GVsSZ89Mjmb7KIF4d8R74=,15,23,male,3,20150204
6XcOboCZPVYxAxNx8U6WnCwMKMHIWOkC+pW08jF+XuA=,5,32,male,3,20150208
oFeL3y7JOQBkK5ahxVaV3ISqjGXPUM+ScPB4czCd98E=,1,21,male,7,20101220
9sD8/6ybh+SiMNjDzvysuUUbMfwhPv4GyNEz0LcPNgI=,13,26,female,9,20101225
QaDzBQXAQL9qaq1XUUh0UcnGd2rO4a0CEBiaJYK67LE=,8,36,female,7,20101227
Wy9lkPjtPBrUSfaIkROHgM4meYvo4Mg51OBdVC81ogg=,15,43,male,7,20110105
op0sGrfiQ2KBcDt2UzVgLsLbNZIbvJIq2FSWDQnZQH0=,1,0,,7,20110106
iFKAwkk8GA32JbjpFtZXUdfUZ9cbtgfv9SD7+vPvQpw=,13,0,,7,20110112
91oUkxm3AkuNHkiEW1ydwSJjLdjEuWgJZRH3GtNx3o0=,9,59,female,9,20110113
aM11wtyyB07iBA3B0BnPKZosM7x9W70GkrRbJ2RpE+I=,1,0,,7,20110114
+WLF/A+feuMu/HRuoSNaQeSlF1K2s4VLZkBkmfpmoh4=,15,27,male,7,20110126
aaxQj+Nj3DDFOmWBADM6wqfw6/S/TiEYEdVrdvugYgU=,6,26,male,9,20110206
uK2zcxYNmIrUcS2YCEPNVJp22+SjYxl9kmyiljMREXE=,5,38,male,7,20110213
LSj5WOoMFzQuyPK7rtsQ8FsUOss2tAJN7RFRPoyUF3c=,5,30,male,7,20110222
7ma3vq6/fLmV3cmC02We2AMYrhaUHhcO+7gCNH1zwOo=,1,0,,7,20110301
pN/yaaPNKnADQ9PWh2w6ni32VXecXPzZrHsRXCsJKag=,9,32,female,9,20110302
XnNJFSwiDaV/D0X0wKqav1uplCMAv2e5m+48YwiMdhg=,1,0,,7,20110302
f40Lu6QVyWo5C2twnVgRvQyREoN1UfNaR4pjlNNgmnY=,13,30,male,7,20110313
TMFSvvHT64Sgxj8MfIybHsTix1oA1tYKAc5nMf0xQkI=,5,28,male,7,20110314
HGE/5jVV7k7k/kQqZuhpr3qD/4068FpuqxB7qWRlF1I=,9,24,male,9,20110413
eY+UDYaAlACNn21sfSJ2qWdwqkRkOwjUvrzuhFdQy74=,12,-39,female,7,20110423
HYA58c3KBRI1utj9t2Tbb1sdjUV33AIlJgDd2CwPyTk=,9,0,,7,20110428
/6pnO4uBjPmt1jwV7kkBGXIi+L980WNnbAL0pIUx5Gg=,9,26,female,9,20110429
kOmexfnRalNzp7bU6TBwFr7s5r4UY5GW71xrVez6Xsw=,1,0,,13,20161224
MK07Zk5I4qKBa6w/sEKdAzb+iU/W4HaFTeyyJTCZc58=,1,0,,7,20170113
Xvijj0wIPNvXOLZdTRRePb7yG8wIGPYXzbvBeW/ACF8=,1,0,,7,20170123
bJnns1l4Oevm7CASxX7gMb3FmwdFLgTf0NIlZnVU2yw=,1,0,,7,20170126
+Wge2b+5+FoYMuGUmmmLmVOSJWv5U9DxFwHEWAAn/n4=,1,0,,7,20140419
e1dRGvFzWTj38weSskMFBYwlJGtM1e8fFYfvwF6m2qY=,1,0,,7,20140424
3gBGZy2RvXVRFlJ2yoyteIH+DpEF7BzGPKGTiMZz1Os=,1,0,,7,20160319
5zpSPzy1lcRJrXCScVXDWiJSKHFhzKz3kGsTCAhRff0=,1,0,,7,20160715
oJlgfxEQnTumbDx0Fb6kspm/uUvoMRHfnjcrrky38ms=,1,0,,7,20160716
XOj+h99Ox8kZRfzLcCnaEJLGh+zIuLHEgiO4JkJ3qUw=,1,0,,7,20160719
7O9+cN+FjxeL0nmSYxPZaW65MJFYcjP5BO1nUKjHJCA=,1,0,,7,20160729
