msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
LUPRfoE2r3WwVWhYO/TqQhjrL/qP6CO+/ORUlr7yNc0=,39,30,149,149,1,20150930,20151222,0
qNpZJ7gsMPAFSvc5V3kgqtFfUQU2SZe7XSUYOAfqtoA=,40,30,149,149,1,20151001,20151101,0
6takVibQdMIXYkAUF/EhmVUE0Juzl1IzbmG4++BIquY=,34,0,0,149,1,20150930,20151031,0
0f9IUy6wP6pEUntXgu9PxCcieo1bNnzj/wxu9yfAZV4=,31,30,149,149,1,20151130,20151231,0
taapwADSnnLo0bhhI4UqOwxcVgEb2z+/gJIMmaBtGCk=,41,30,149,149,1,20151130,20151231,0
iVmIV0/Lv5Oxc4V5FKg9dDWSoviAcIfrhKmkl0qUjvc=,34,30,149,149,1,20151130,20151231,0
qmuUdY2ceYU7x8uTZfLVmGvbsl5gheNB8q2Olqf4v7c=,33,30,149,149,1,20151130,20151231,0
ht/cEJzjV4mg4Z1XoFEeMxA1l6fbUl7qQ0RVmecHrC8=,41,30,149,119,1,20150228,20150331,0
yH2iJUl9kq7iHnZDIDRNVLJXSAmGf9srgCRVwJpVnDQ=,39,31,149,149,1,20150131,20150306,0
yttCkqWevYXhPBLxOt9QqLGTnRFJhkapMTMKor+lBgc=,40,31,149,149,1,20150201,20150307,0
RrDOKHmvRPNKQRfwvdgXIkXwAKIgZ0LGssotnkHJQh4=,41,30,129,129,1,20150331,20150501,0
56IP3dgN/UwkEfUYo6757PxPJR8FVphSjWaTG32NTHM=,41,30,149,149,1,20150331,20150430,0
QNweA6IiSmWJteQOeWhzOHg2uhlohJ7ZTgINLvA1jHU=,39,31,149,149,1,20150331,20150524,0
FCKaHitJImYdU6INFl61U+cP1aNXPXc1e2JWly4UeNM=,40,31,149,149,1,20150401,20150501,0
+3KpM4+WjwXjtnMSIddRLCqLbirv9MS1I0XlxbPL7Wo=,40,31,149,149,1,20150401,20150430,0
YEzgN/ftkPoz14MvfPc9dy2kXVWy7Ca5RoD4gCDrY44=,34,0,0,149,1,20151031,20151130,0
KZWat6BmbPsK210PkazGNiod2gm3Sj8JOo393Q2eITk=,34,30,149,149,1,20160630,20160731,0
mMitjS3sbwP/4n0PgCsDp/V1+1FJWinwXDl4vpqTleI=,33,30,149,149,1,20160630,20160731,0
yiSWOh0Ks0J2pqmIpaokXSxqS5404JpHyg4hGEtRh1M=,31,30,149,149,1,20160531,20160630,0
c128c6ljUnsqri/JgnhKz5vea6wudVVhhhO7YlbuFQk=,41,30,149,149,1,20160531,20160701,0
hfvmezNWjPRFZ7ImvxY87bDJ0+AZSG+gH+vdKO0mHUw=,34,30,149,149,1,20160229,20160331,0
DqjSpUZ9ApH9UVVEdbSpbvbqH11f7u18viSzYJYIRYc=,41,30,99,99,1,20160229,20160331,0
ildx25+Oe4K1LQRaMV9e6j1eqQBBqD1Po546xyGQedE=,41,30,129,129,1,20160229,20160331,0
9UfMb3EBYVQd6lIR4seYOoQNt9tgsrPjPVygTPE1dwg=,34,30,149,149,1,20160331,20160430,0
kd5iYxSMM3Ta8QrvX2Uy6ZcusNmn4Hj8+OETsxEQPdM=,33,30,149,149,1,20160430,20160531,0
ldbnQ3Zf/9eCAnf5/y4i/9+WF7w6uNy/+ZdmbvOylZs=,34,30,149,149,1,20151231,20160201,0
YBEZ0orFKfVpm2oJU0UN+iTg0Oz+8jWoGFLnNGGczQA=,34,30,149,149,1,20151231,20160131,0
pXmSom3ZY1W72M9T7c0svVkSPNth+NjmZVC0pH12F2Q=,39,30,149,149,1,20151202,20160116,0
wyfhN/y9d+GgDrwmcPAcVQoykAQcYLzVGaPVBfMeV8E=,39,30,149,149,1,20151102,20151216,0
+zxQ8VW0jZ0ZqFkyWmFiCSbZsRXGB70fAuzRqG+vu8w=,39,30,149,149,1,20151102,20151206,0
1WPbxOVaNBHDVRYHvBqaLxTGWSUvh0G16fFvYvhgZ2c=,41,30,129,129,1,20150531,20150702,0
TRTLeqIakDjx6MVzcINNWjFjGL/3+yODk4SoRrxDi44=,41,30,149,149,1,20150531,20160601,0
JNdY6AcRbuPo7ca/vy939aOoE9Yk1R9uuSZStl3TdBU=,41,30,149,119,1,20150531,20150630,0
Z3KER2OjIV9MUAkn67eC5rZosoklxwweMcn/HU87w/k=,40,30,149,149,1,20170218,20170317,0
xbM5udDHzT3mcT9QoVacbFN7z1NCWxuhAYd+yKF+/3Q=,41,30,129,129,1,20170210,20170311,0
6f2UfPd/1MyGmKVL1bNuwO1KPEzsdfiGkvjRZRvZbzw=,38,30,149,149,0,20170103,20170202,0
ZzsGWn2AVzcKnvprVq13WmVr0oZCxUbLZkOcfBOZ/cU=,41,30,149,149,1,20170118,20170218,0
vRjieXXqQHFKIku+wiXK2clqrzOxv9cYVVixWP4rgDQ=,38,30,149,149,0,20160720,20160821,0
d9mKvr/cIAFJJDQPO30467ss1J2T5sH7ab8OnbG+rUw=,41,30,129,129,1,20160701,20160801,0
4nQoPYTdFnh3Ln/6fKdNOjVsqa008eFsnnX7eztGyFw=,37,30,149,149,1,20160702,20160801,0
HLmYY235dBvciG30MJMm6zB4S/fsut78eOMOi9fodgs=,41,30,129,129,1,20160204,20160304,0
lX8nal6xY5UNQWVquaONU5124Zuy1hPVErfE5ZeDAfM=,41,30,149,149,1,20161011,20161111,0
bVNJDeMfTdEuH33zH/HXXdZQbov0hqIoLQNzt1l1Whk=,36,30,180,180,0,20161008,20161109,0
zuyNDfMmP1V3xq/eLqH21nqoU6qFD4vSe0ecDF3Ega8=,41,30,129,129,1,20160804,20160904,0
1eu6lRSSsQIWg62KpMMsmtWvT810u0cnSjJP9puhy3Y=,40,30,149,149,1,20160805,20160904,0
Ekl4JE7ODTWRwZoKhAwpcBWDFBSH62sO+r39qXSh7rI=,41,30,99,99,1,20160206,20160206,1
ZkFG9TErxf5QdcF9T+jWAF6TurWeN6jK+56M5lsvfhY=,41,30,99,99,1,20160705,20160806,0
n8sqHFSE81fya8EXO9nObwxcrpjXoe3SjiA6ZUlzt+U=,37,30,149,149,1,20151111,20151211,0
i1vSZoXJhmHXaMj9a5l2ZJBeETb0r6nDWRwRxL0UHt8=,40,30,149,149,1,20151206,20160109,0
RGAe8+3OzXCgYYw4LkvHHfGHPW48eT57SO9tCDqF6wU=,41,30,149,149,1,20160924,20161024,0
F/qFRpQ/kVS6DkG8jsKxVhL6BgYwjWkxwPIB7/3P2I8=,36,30,150,150,0,20160107,20160206,0
lxyXPv2K6OBTYK8pAUa8X19xZ8khM13hX9aDGmWm638=,41,30,99,99,1,20160618,20160718,0
Qalg9Vg5RCfD/HJGTKa5Hl4241060RX5Bd3fX3NuTxY=,40,30,149,149,1,20160619,20160720,0
ZiE5OOG81MPhranbUkiKPlO6ZiGFnDF8Nzao52Kn1GQ=,41,30,99,99,1,20160415,20160515,0
NgBigmhVpkPNDi5ZmuoHFw2BhKwNLDcOZhzklbnRxl8=,41,30,149,149,1,20151208,20160108,0
