msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
qR/ndQ5B+1cY+c9ihwLoiz+RFiqEnGyQKo32ZErEVKo=,20170331,3,0,0,0,39,41,9786.842
gOez8s5b1FYEwuXnrcLwIcDUo7oDpHADvhCnyswId/4=,20170319,80,16,4,7,64,157,17744.003
HM1yHAat9ERVOCAmobGLhUHFpycxf0LivTCLJiNfzBg=,20170311,17,3,1,5,74,73,18383.383
zQy8hwM9MAgSyQoxSEy6DVCoRWWN06L16pkjz75ZR5I=,20170312,11,1,1,0,66,45,15540.67
7WqG+m3RADDISPF2kgkO2hGrFdsfH3+PpLrKbUoAIJk=,20170324,15,9,5,1,38,65,11568.223
2pAyeHEfODENsmsQ0KyzN5TD03s7gW/vdSRLmv5d1+4=,20170320,5,0,0,0,102,102,24282.385
U2JfrvDrrI0TeRFntC7fRMxaVCWisalfXkE6vQNcrqI=,20170304,221,1,2,0,68,216,17398.655
H8aZszHAy9bigb6WoXHLDYB5y30/rd+m22H1u4D9vUE=,20170328,0,0,0,1,153,152,38810.184
oLOLXxcndzEBNpytankhXtqiDagASzJb5BF9p06RH8I=,20170329,1,0,0,1,56,24,12938.419
6gpCtWZLLAIo3Q8BvYpIAcp6ifG8w2caUJueAFV9K94=,20170305,0,0,0,0,7,7,1572.105
3Ut0GJbxx4vEtvfVcXNF8DgZax5giHIARVJa+0htCPM=,20170327,10,2,2,1,32,39,8436.162
UgpSXx7BAfB3Tbjse0aoItBB53wgA4n6XoCoJXla6SY=,20170316,15,6,8,5,102,105,26539.136
VyAIzSeB4Ixl9lAjnxHnlNapycqOwXX7hIXyvJ/ds7A=,20170309,25,26,15,12,122,143,38761.128
c7R3TbWuiFd4pf0NHrFvscs8MEYrTHZn0jjeAXJUVs0=,20170309,0,2,1,5,211,206,50179.271
/ZT5t2mOb9u8KWX2FFNP9M2Lr7tnl7beknpTrMTN2Ts=,20170302,16,0,2,0,73,81,21075.314
DoWFgmis2pCuemqA0ieVsE+/UEnEt8ioGTqO78xJLfo=,20170301,4,0,0,0,117,93,29530.284
0CcbZ2KOl50ZDqjQ72Z+HrpeD++/VXOGU+mgheNoA70=,20170301,9,6,1,4,6,22,3355.43
ZOvvqExlafY+gXC3VR2J9WbohE8xrxzphUf4VQ1IuSg=,20170306,30,3,4,0,56,87,14785.342
MUJiCgER6F7SZ4X6K0N8q2Ok76xsEZIvi1Cmvoz1FnI=,20170307,2,2,3,1,13,21,3891.374
7MXrG/8N89qCN/7SUSmYAHG2cQb/RkAIKLPjFMVuMa8=,20170305,10,4,1,1,10,22,3021.161
zOm9qQ6DBdc5o9WWjAuOiJrCL+uiCc+vzCsc5mybQqc=,20170316,0,0,0,0,11,11,2746.789
NSbAzwNi3kdcH0X1Y//cdI+EQ0DrRl9bqmgVn9PzGAg=,20170313,8,5,0,0,47,56,12254.686
0PiJ+o4/AR2sIE2jlOV6kElGqWvTygXhM9uUeeMj/EI=,20170312,0,0,0,1,260,229,37231.722
sqf07kAuBS86TXJD/DDqN5rap8TK0U5FJ9frYIbj2LI=,20170325,5,2,0,0,17,22,4641.775
TWYIUDeVDOV8CiPPZa1oTij5C+NKbvVPao6PSEhAcvM=,20170318,0,0,0,0,43,43,10646.107
BFQMfOSsESnLArz/vCV/23aY/F71GWEwZ8NULGHDQEI=,20170326,3,1,2,3,73,76,19210.437
iuqoDM0IwIpVlGeviSs2UX0RQHUyOceEAT1b8//WJ6o=,20170324,4,1,0,0,66,71,17357.556
uYfZYBLdPPv6naQF3gHMND4AP9uBiOyrD/TAOUu2Cc0=,20170323,0,1,1,0,129,131,30003.683
vANKpE9jdOfHIUn6ZtAXRAaYuC6+4CeHqRQ/SC9Z+MA=,20170310,2,1,0,1,100,91,24594.249
8JN3ReI0EsWUuYbjW6Ual8NQ1ubnzkbsIjD963FhSuY=,20170330,0,0,0,0,15,1,2955
EroNTg1TGgRO1U2gvT77doIpo0xbNJqOIOkG/gaRko8=,20170330,3,0,0,3,42,47,12577.412
YlDkV+3AX4m7c/iJGLcN37/G8tZPqIyYbAa7TIBpKaQ=,20170331,7,1,0,1,30,24,7308.029
Fcb36Wdg2oGJACntpl9ghPjrOyOGt1msyIZ4yw+Jc7A=,20170319,20,3,0,5,81,50,21096.843
NaR6yAvwckJSUNFpsdTzqJoby9a07M2kdlM5L5W4ujE=,20170319,5,4,3,1,0,13,998.426
jYyinqumLje/O/qgEapoQ2rqVihGU0fsN7d+jsZbz6A=,20170318,9,3,4,6,76,56,20823.673
wGQ0XnJrNeNo5QxJ5x0KJv0aUvJ1qgA7SVP6TThApxQ=,20170319,2,0,2,0,27,25,7176.724
JkWzaF7k07kWHi7B08VeAOYgDq/j8MF7i5UX/JqOZJM=,20170320,13,4,3,9,91,93,24352.397
XxHf6akVkv4cGeqcVSXXz0fF2C0m0/aBli3HqVzMK4A=,20170329,8,2,0,2,7,15,2470.033
iFLAHIC8pMal3f+Mwn7kNvi4uJzwDkxhlEJYNCPh690=,20170328,2,1,1,2,134,140,35586.579
g2g4sfCj0nPcZKXg4jwmH//SJH8NNGpGl0iuPnOweBY=,20170329,6,1,0,0,20,21,5140.906
jq5VTmwvHOLdNrE5vylO215bWDMG9FIElNU6ST7p3WQ=,20170303,1,0,0,0,35,33,8868.519
kdurf0tNOrZ0VLzdTZChUhP6DJubki3tQMYT3N3n+AM=,20170314,10,1,1,5,81,73,21903.663
JMEWwrD0zX9y8weu+Tk9n68Zsvjcr84jRqZhJMLErM4=,20170308,4,1,0,0,16,12,4196.469
ekK4c3SQi2Jgv0HIsAfoJ7BvUc9lXsh0FLT+afzsNhc=,20170306,3,0,3,0,97,103,22926.929
XwzbzjCgw0ku3eg0wHx7v8OtQBZVzw6F47K0TFRT2FY=,20170307,0,0,0,1,33,32,9266.754
hwJwVFyj4qOUehETcg2wczX/ICw3Tqejh1NsBBdddMw=,20170317,16,2,0,4,76,87,21273.272
/gAR/JFqdQUHhyA/bYW/VrfwgA/P7aYhq1MVd0Pi8tw=,20170311,4,0,2,1,12,18,3165.737
0qzIPhA1qS1s5TNG2G7SDOVCoWyAIuTOnZiTQTXC/ws=,20170321,11,9,1,2,18,36,6046.93
q+dXekbq71xMMQinl9QSrJiySuC3d6OA1eoOcaQPyto=,20170328,0,0,0,0,15,15,3504.857
eDigUUrGZOncZDhzsYMFNcbwjxzGuIvWH/ZhGWjG0iw=,20170305,6,1,2,1,9,10,2508.365
XCTPPqILKkUaW4NT4ON5Afpp8474NZjTGmrjfiK5QaE=,20170316,10,0,0,0,133,96,33565.533
TjdL24CDs0VAq5TRpIKVpE5DYXMV5CXlg/4weC8bAR4=,20170308,7,1,0,2,51,58,13718.335
UAkwjxTOIBRtpoTvo1yzTK9tq/fBOGKY+Rpi4Ky6B4Y=,20170305,2,2,0,1,34,18,9126.837
L+nolGDmzy7TYEjN9l19NYt1vr3RSQWMIMN/3kyCJhY=,20170319,45,7,2,3,56,78,15317.635
E5vjMhp8WkcWuIzisn49GtTt8J/LKZ3MI0tNhgm8kOw=,20170317,9,5,5,1,13,27,4359.544
NA7KBkVRqvrAIakcK5scTOs2qyZfekLfl52u1lVtDJA=,20170317,11,1,0,2,15,24,4322.191
389JLu1/F/tTQ97fw/N1JLQAeu8SNPKJzySw/KIBALU=,20170323,5,0,3,0,59,52,15302.454
kGI77TqTSa/u/DHs8GkSWLpMlcVlSjdKEX9DPnn5RFU=,20170323,0,0,0,1,144,101,32747.27
+se9ICHZSt0cilXtOOY4C+zc3TY1dWfs/Uad4KlOcXI=,20170320,55,5,10,10,38,109,14435.476
JVWNU9Dp2Z/cfs70plEEx3h9nPrBAsh6JCQ6+/PAVGY=,20170330,2,1,0,0,31,20,7693.208
aoSsz4ajAJqlFA9hVsHUuq5yMimRHq5s3r6e3PgeWnw=,20170329,5,2,3,2,11,23,3650.017
/ShyZUMbDbWHCYL2nkETx12Y6dJai215Unccyo2Vjcs=,20170316,43,3,3,7,59,109,17902.202
Dzwtwb7O+2EcAwOpjblT1kFcvrzfJCw0zDcVwfjVdnw=,20170318,17,3,1,1,24,43,6579.786
6iU2Fn6CoAvvLHiWxRGdbPl01q8SIzf8fjNMBNrR3SU=,20170316,2,1,1,1,27,31,7131.916
cl8aEziY24b+KVWBsPCbIjo7tJePBrDxKh0A8TvO+dM=,20170312,1,0,0,0,272,100,69049.492
4KSYk+1NXFO8HvC+nw+vgh8GSb3qXmpjMWFI5tcpku0=,20170322,5,3,0,8,110,66,30991.586
ScClY1F1XIdwGJh8iqAHWJmtyAMtQB8wKDBW12mjrdM=,20170324,2,1,1,0,13,15,3369.444
vFMH+/V1J8w1c/cvjn+rWT08U9kiA3d4oRU8kQxtkzI=,20170320,29,54,8,6,84,126,29902.122
VGda4sA1frAqPPkrCa+Gf090XQyPrE3o6+7CT+s00hk=,20170303,2,4,0,3,90,78,26162.557
7iLgGOp2FyUoVdYRl+MZWiJvNNW6cIPfUUn0AxgSXc0=,20170304,17,2,1,0,198,173,44855.205
aLcobthRhpf3Fxbb/WJFp7WiZRRXl0pubq/W2aDwPdc=,20170329,1,2,0,0,46,46,12234.364
Zi4VKvkS5Gjo0ooOz1qpfvT85rW3pRBnw3caflGm410=,20170304,0,0,0,0,32,29,7931.253
/RYkuPIGQi0kx5mjfaQBua6enhMcZbp60xf3al8mMdI=,20170315,0,0,2,1,55,56,10995.428
W4DF/5Pbg62WHc/QSS1vPihJieMKFSrjPIJfHMqKuDg=,20170303,48,5,8,6,58,62,15918.501
UXaCRBpMSeOZaM6Ga5UxgJL1N5eI3QZG6NJl8SKNa4I=,20170303,1,1,0,1,105,107,24855.403
O1iizAIs3q28F5RG1Dl4SNkYfW7sngl5TAXCmj1AvZk=,20170302,5,0,1,2,43,46,10763.2
sgQNZR8poJBB+Zq7iA8VaDFp6mzoOdkj+Bqfo1LzYIk=,20170301,1,0,0,0,60,60,15180.672
An7kHeZHTFYS5BsTEWZ77eRdEA2oOIVQjfbWK2gy0Iw=,20170307,1,1,0,3,62,67,15575.163
7NNtbFpvzbgT0PWOntkQgpYH1iFmGstlir9qapeD8kg=,20170324,6,2,0,1,56,63,13956.662
cwlVPcyBFTl76dvDCxyhwmD8wD3DGHdVSx/eBKs/Ovk=,20170317,10,0,0,0,34,39,8128.96
Ck+ly9KWecjNUF2D7v6l7DeuK5ekOv6wqArTo2ORt4Y=,20170310,0,0,1,2,196,143,46509.333
f7lofBxxWjCEWzF4cTsbc/KBto/8zcXRHSUwQA4bl4w=,20170327,6,3,2,2,199,139,49209.955
AE62rJzJZy22+VhmF+np5h/Glnxt1X93hXVM271sYEA=,20170314,2,0,0,1,26,8,5805.769
1c6brtk5CbE8V7y7ZpxoKt4yPVRaYoJr8Jo9/CbSPVc=,20170302,19,4,4,8,64,84,16694.251
PKS0P2017SGIdNIxyPwAWnatyAFuCuU262w6M3Jxs6E=,20170331,1,2,0,1,28,32,7525.002
qRJYkH0bU2KoXRbqxE9lC65U87HudHJV6BdxA1EW3SE=,20170324,19,4,1,1,36,56,9017.677
QnlbvRsoNYrGv2VspXysuK1PBLqAqnjbuDf7EcgaxwM=,20170319,6,1,0,1,142,148,34272.448
g5vF1O+Nx9oW1gwy8QMNkChjMBn9YCWiiJRKE7Aq2fE=,20170318,6,0,0,2,79,60,19244.085
lB1mdrccVjPYFrhIT1dgBv9T1Tl+hE442FjqDDb/+oE=,20170311,13,2,0,2,49,57,13697.178
l6Y+xUxuo0UgTcTG8YaVY3pMhG+ENH6YNCKLZzHUjcQ=,20170311,5,1,1,4,24,32,7069.74
WxA8KJ8/o6JcfYQhnUX7gKFdOnzFgvzQHbedKvbHzSo=,20170326,14,2,1,1,177,25,62557.788
vphed8E65hh21Q3C6aB9Z7dAywn8X7h2y+ohXSibj4o=,20170322,0,1,0,0,4,5,982.561
xevPOtm58jXNfiglBHRIu5gWL5LX4LxTriV7v+fY19Y=,20170322,17,1,4,2,40,46,10389.758
DukqaWxouWPGgCdcKrZKikm4hXAdmkbaI0v+4Vke/KE=,20170329,9,1,1,1,29,36,7566.859
hA5kndBql65GErWdDUz2prwjt8e8SDDbZ3CdhaVQIbo=,20170327,21,3,1,1,42,45,9998.777
qGVNI938ZhtIUN388c+4+mIZ36zoH12vnOFordUlpuk=,20170302,5,1,1,0,12,17,2633.161
5kmwOUixGH6Th2Q1CLaGhijNiqODH3y+Y/oZKsQivL0=,20170319,3,1,1,1,23,27,6575.084
OgYjk/ImlGc1gTONqZrsbjeAgAvcpT6PXF3SJB19pxM=,20170322,2,1,0,2,117,106,30272.135
D0iJfmNXo1+iZm15VEFgdXWSO9LKc/K234Xm79CmmA0=,20170320,16,2,0,0,12,29,3667.799
XQb0P6iCjPt4g1evPXGMJALHptzTT8jF6+A9h/teDXM=,20170327,0,1,0,0,71,61,16741.937
amVn9ZSg0nheZokmRZLStlENW1XQQYeOR98q9Q9VsXI=,20170316,14,1,0,2,62,69,16962.833
jqQsQMh+HJI42Vdvtj7QV+KObSpvtYObX80/ZLIaG0c=,20170305,64,23,8,1,39,105,13274.668
OMJfnBNI4E2rk5MrcH7WQT3+NUEXR5pzG3+2KbyM0yQ=,20170316,20,1,1,4,31,38,9548.721
w6R/L7AmvCF9PREAWNXcRROp+wKYGokvdKo4MIeb8DA=,20170310,1,0,0,0,6,6,1587.834
Vnc35DAqiWs5TS1t71hoEGKXksh4lfZWV4ZLJIzreGA=,20170318,26,12,5,2,20,49,6978.177
B98D1rsFOF4F/DyE1twYbesWKlfO4l0aqaz6Dqpz4TA=,20170317,112,3,1,1,43,156,11382.531
Tup522VX7KQtWefAgRUZzPeYP5Vujt7fn7z28NQ1joc=,20170317,3,7,3,1,15,23,4887.399
0H6LQnbStGerYbWCbpg3RvdpkS9aYhKnxf/5O3ajdQE=,20170323,20,5,1,2,27,43,8444.167
NJ/y0FKu+YD8JauOkeVN0rgYs4hRHLECqN/58+ZoRfc=,20170310,4,2,2,1,31,6,6670.287
xF4Mou1MKL+do3d6voZCfLt6alE1jX8jPlKRCPVoI84=,20170320,34,3,3,0,31,66,7705.312
63Hy5cf7vyz6ZmolQHUjF9q+w77S7Vo4ubZpdZ515V0=,20170303,6,0,1,0,69,70,16629.19
1ORJa9kC/hSqHMaxxwwF3gq5877wB/SOuqvSj8gOSmo=,20170304,2,0,0,2,183,106,48971.548
G7D/YBtk+wRHGqf5+EE/DgwrgAbs0gTvyYawmO83XUA=,20170329,0,0,0,0,54,53,13896
5MIML6IQ6pcu7gXBuDbeyMGyNr2POii9cy90nJa4moA=,20170305,3,0,1,0,45,27,9954.148
9aDq+uM5WUK5g5o3vev430hHSaQPQ095Z9CTJNa3ltY=,20170305,0,0,1,2,65,20,17710.503
kGQXqjv+baJeO/BlZV4+ezetnnjiI3LraoP42VSKYaI=,20170315,30,5,3,11,89,53,23699.048
HRBImxq9CKFWBFBCDKe8qvmCqk8v3gJD3JeeoQk3tR4=,20170301,7,0,5,1,68,40,18216.993
D7075PibunkgT5loDeCTiM/CUOEFn32rYmQzD9nLjyY=,20170318,2,0,1,0,21,15,5889.452
onwghlkSYiDeLjCnVSxajUrvRgtxl2dtXle4f1A+DPs=,20170317,2,0,0,0,70,62,16473.085
ihVz6/6pKlSj17063v6QZjmdjPPEKOyXr5ZNiHV/UDc=,20170311,20,2,7,8,25,26,9177.763
OJ+rK52LH+16YJav+KP92ZEiP0pDMyY9iCGH23MTriw=,20170312,2,0,0,1,23,17,5806.768
7o9ntjE+hYHP/M2+rKpNGh/XpSyX3zyw8OhPcncLDEY=,20170321,6,3,2,1,4,16,1783.523
23V5MIlNYzCZXMusWCykVSivtLAYBhRCz4THfuIN5WQ=,20170320,1,1,2,1,17,18,5244.633
hkyUvxXfFWV5jtMZI+GWT6ASTpwfJOlPPYsKQTvvoWk=,20170303,4,1,2,1,159,134,40399.315
RFW08lGnQ6WYFO+AIip7SVse5Fd/fB2mNo0LET/zX50=,20170314,7,0,1,0,40,46,9510.995
K2d8ExqgILFq/jeaaVBv4iY0KVEwmq0CuwjFlILOnvk=,20170301,4,3,1,0,15,22,4119.269
iYq41KJmAFAae3H03PlyjWmgBftmUt3j77rPo9EOTgE=,20170307,22,1,0,5,86,87,21086.461
oXvzHCLNi9OnDrUBz1D4BIv78oUIMCqQkUUMLShz79c=,20170328,1,0,0,2,32,35,6877.971
uzDgDaMOdtgL7Pi4BPNa43qCIo4O/wkvWu7DYG4l2TY=,20170313,0,0,0,0,8,8,1836.906
WP89OwdO1AEBTxl5ywlCvgOm6MNii25BIC9XUqIA0MY=,20170308,5,0,0,1,20,20,4576.173
ektKW6CSGX5kLvbe67w36jjl4O/EqFmNDg6m9stijyY=,20170331,0,0,0,0,8,8,2081
Eefd7LzdHFMb3o1mkG78SSCao8OnE35gCdEMw9o+WQ8=,20170319,4,0,1,0,18,20,4901.852
mj40gz6vLBFOwHixm8pQvrx8xb9kUy74FmvGards3b0=,20170324,5,1,1,0,51,46,13570.231
GNNbk/gLdqcf8s9FC+sFuTBjb4goCDfhLpECaM8V3sU=,20170331,0,0,1,0,82,83,19285.412
2dHju4pQ5OLVewAaOiNAle1WjO7mRaTRt8rn99cNIlM=,20170304,10,2,1,0,21,30,5519.642
Qlw6sBFL0mu7YwDh1cBsvUNtsVQMZXnSmRDARC7KTQI=,20170326,23,4,3,4,37,39,11552.656
UW5dKRpIR2hBWpNgCb30oTkFhPQmVTaBVo432o8EkiA=,20170324,0,0,0,0,29,26,7433.779
1ZaUHqW5Kv+OxST9NSPW6yde2E3qM6S9kbltxSs8Vdk=,20170310,9,3,2,2,26,41,7048.784
XZDQkbpgEQeihZXI0QVePFdakb43m5+c7DijCE7BM9o=,20170330,24,2,0,1,11,37,3545.565
CxhRM00/OYQFLAcr8knFDNUm45J53nDD1jU5MRTUa4w=,20170316,4,0,0,0,18,18,4277.51
o9+gE/80OeO74Dno68vdeTtH/TK0zXVzZ8YmYbLWKFQ=,20170313,19,7,6,1,59,49,16709.441
Cda4IZMBlc+P6nowVVZlmFGhGgniv31T5qJ3IU0Or2w=,20170314,5,0,2,1,3,9,1231.182
gQY+NoSUVSRa9Og9iQ0TTL28qTGGx0nMXj7/w7eu0Lo=,20170314,7,0,2,2,174,104,45284.687
7RnWJwvjOhRGkk3ILSckIkt66Gm01F5yIQ0QekgBmSk=,20170302,23,6,2,1,0,30,1674.836
PafPwxhcYdWS6YlhnaUNhRWiXc1JI4nVuVjQuSbaGIE=,20170327,16,0,1,0,142,74,37867.761
vOfWDrOntMxX+DxCSUt23czeTstbLh7UpavD4TBh+dQ=,20170315,2,0,0,1,20,21,5458.469
Q3sw15ajLlO7wlfBtS6hWjIfNxfL3FEp4RD6bMbRhcI=,20170312,32,6,1,3,23,61,7505.005
0WlMs4wJCEopDbCX2WM/e/83yvEbHjWuMLn2Br2+FBY=,20170323,8,3,3,1,12,18,3619.469
/E3XHG0T5WwW5+EU7NXJSD2bm95AEG6G3Hy6r2BJ/F4=,20170310,30,3,4,3,15,44,5926.436
pqOL1TGDN4fasni0gvgWI3ocAbCIVV6py+y2KeDylrk=,20170329,1,0,0,1,22,24,5626.945
YJ6XJa+wsv2J0FTop5Eprk6zNc8Rg98mwdQ7ECI1WWM=,20170319,4,2,1,1,32,36,8891.542
2hevC9VgDG/D5YiSfJ+z1SBWc1EF9LizjRtpbeh0z4Y=,20170323,5,1,2,4,18,21,5835.19
4SnWU2Qq6nDuE0w02kZYhW4yrYmIyRZBPf79+4+/CR8=,20170323,21,1,0,0,8,25,2301.364
R8yPsZWpNWip8GQHss4fYfXi9duy0x+g1UAMGtEitzU=,20170323,20,4,4,0,48,54,12456.285
FjxRw1x26tG1OcjsoPxB5Ob57KfkdW13ct3SZngvvrg=,20170321,9,4,4,2,12,26,4551.115
CTuiuzLC37M8keqv40WPtX7H0ggSZpZuALNfWZAlDSk=,20170304,9,7,3,3,120,111,31643.603
63uFmwoP+/01MCuI7+lQvUID9DN5j9fyJYIhdWHtjfc=,20170328,2,1,0,0,36,35,9387.295
8aFOX1F1ThHirlbu/J9XXwzPmkiemo8kL9AAv5ggfk8=,20170305,8,3,1,3,18,20,4839.366
Jv9XKbfXGKHamxFz9ZB/7rTRuDLS9erpLSNT967yYdk=,20170301,11,3,1,1,25,32,7088.689
hpHi/poQ2/pASAO2PQ2sF5VZ3NhVOfaOjnh5+pl+wAI=,20170328,14,18,15,17,49,29,21126.349
uNEeZI1RAHIEk6yVeECLudzYun6IretHZqyjQUHF3rA=,20170315,2,0,0,0,34,35,7441.14
4tdZNmE1hagLWHXgp5Iyb3OhmpWKKZ4YjVHNM65aMb8=,20170307,27,22,7,9,23,38,8754.689
lrqCwBpMWFYb7SXBkdPYnX2ezAeXgar+OJFmR0apHyc=,20170325,4,1,0,0,1,6,364.58
657T+mEtb+0Ql5UMoOe8njbK4iHoIlaV3QprALfJPHI=,20170304,4,1,1,1,39,34,9083.923
fEkWjX2JzDW3dzit599LizBMMx0lrLbhbasZ2m4AXZw=,20170329,11,5,6,8,178,112,50261.524
9NBOvVdiN9qG0loHg1fe91DOhMRaf/h3nvi2Rp4N1+g=,20170328,4,1,1,0,33,39,8670.283
iD7JbQ41674hW3iE/f8ss6m1CK8k7OLTPMqzju0jZuI=,20170318,11,2,0,0,6,17,1632.215
FfJoyta4QyJWQL3+7naxglSooo5UnHJXS5AjpVbnhfs=,20170317,10,1,1,2,23,37,7153.045
drhD+VAEHPkNJCgQDdXwtshAU30UJzms+VEVZVoDLUM=,20170330,4,1,0,0,49,49,12023.941
5TmIvC7aG5OjVVcVqY7OXB0FnRfnbPfO46u/hXo85X8=,20170327,3,0,1,1,122,79,32009.263
mD2ZqxgS9hYhh2UB6rE5yb/xYscF8TvfeJzPSd6ar0k=,20170304,1,0,0,1,16,18,4162.116
DqVU5bMigkIvRCatUG+eacOWCO/6osFRnA8xvcGg3qY=,20170314,1,1,0,1,43,46,11267.663
wFPuFzyyjAgXwNHIpmQegQz+XtGsc2jkgZZCVb5+1B0=,20170318,1,2,2,3,28,32,8201.371
WS8+tftpq8PsewVycpF4O9y3H8W424WNOhFYrCbClOM=,20170324,11,1,2,0,22,31,6976.835
9s0yjkbcc532niInfc9TW7KsOqhPauWc0e9/veWe/EY=,20170322,4,1,0,0,24,28,5316.737
